Start,End,Open,High,Low,Close,Volume,Market Cap
2025-12-19,2025-12-20,85466.76,88768.66,85170.76,88134.07,71893288935.76306,1746718217718.0383
2025-12-18,2025-12-19,86206.37,89359.96,84493.49,85483.08,76283161420.66202,1730717740351.0837
2025-12-17,2025-12-18,87626.85,90228.01,85373.96,86081.94,66982889851.94425,1734147141449.899
2025-12-16,2025-12-17,86455.05,87975.95,85374.97,87841.36,78802509796.51917,1733588632206.2856
2025-12-15,2025-12-16,88294.04,89942.03,85357.07,86406.04,54860242093.39024,1761907253770.8433
2025-12-14,2025-12-15,90152.56,90446.27,87932.57,88219.98,27339138694.418118,1786344922200.129
2025-12-13,2025-12-14,90407.54,90608.85,89960.04,90251.97,41756796075.58885,1801839477313.5332
2025-12-12,2025-12-13,92460.92,92695.59,89596.59,90288.94,69843455537.66551,1828022811891.0417
2025-12-11,2025-12-12,91988.05,93352.15,89426.67,92467.35,84042413088.2648,1808914366530.5994
2025-12-10,2025-12-11,92669.78,94229.27,91737.22,92003.88,77591757960.8676,1844714635221.6306
2025-12-09,2025-12-10,90617.38,94465.98,89787.67,92735.96,65977587581.777,1823545860555.3276
2025-12-08,2025-12-09,90355.85,92206.95,89732.98,90601.25,63798692415.43554,1817617674262.5156
2025-12-07,2025-12-08,89279.22,91633.72,87877.81,90180,35778556550.47387,1790755592012.1985
2025-12-06,2025-12-07,89219.62,90129.99,88964.15,89220.33,55113877075.665504,1787443820018.0557
2025-12-05,2025-12-06,92219.87,92657.97,88342.48,89289.7,65474248743.770035,1814282630308.7249
2025-12-04,2025-12-05,93415.12,94014.17,90955.15,92132.65,95648140514.33449,1853072708482.5679
2025-12-03,2025-12-04,91247.56,94028.1,91122.77,93637.68,112787500008.14983,1853426831438.5854
2025-12-02,2025-12-03,86317.59,92253.9,86220.03,91279.88,90800618533.38327,1769154636427.965
2025-12-01,2025-12-02,89918.97,89918.97,83930.25,86277.99,89677237431.18816,1718476658749.9373
2025-11-30,2025-12-01,90844.71,91954.91,90395.4,90395.4,31105592503.763065,1819545940026.244
2025-11-29,2025-11-30,90951.13,91102.04,90228.56,90822.83,51089258257.47387,1810296313711.3135
2025-11-28,2025-11-29,91198.17,92937.17,90251.89,90954.11,65821286647.53658,1822350172123.8293
2025-11-27,2025-11-28,90418,91832.04,90179.01,91293.26,94344388864.4007,1820918030980.3484
2025-11-26,2025-11-27,87557.77,90575.95,86422.99,90512.74,82579085781.71777,1757398305728.4321
2025-11-25,2025-11-26,88133.97,88512.98,86254.26,87388.48,84791054162.63066,1745086983283.8362
2025-11-24,2025-11-25,86639.63,89201.62,85485.02,88271.06,91199962359.14285,1740523615420.4495
